Usertype,Month,Tripduration
Customer,Feb,85
Subscriber,Feb,924
Subscriber,Feb,912
Subscriber,Feb,763
Subscriber,Feb,888
Subscriber,Feb,398
Customer,Feb,67
Customer,Feb,93
Subscriber,Feb,652
Customer,Feb,409
Subscriber,Feb,596
Subscriber,Feb,956
Customer,Feb,393
Subscriber,Feb,292
Customer,Feb,559
Subscriber,Feb,355
Subscriber,Feb,428
Subscriber,Feb,341
Subscriber,Feb,1485
Customer,Feb,242
Subscriber,Feb,451
Subscriber,Feb,567
Subscriber,Feb,498
Customer,Feb,791
Subscriber,Feb,366
Subscriber,Feb,766
Customer,Feb,1617
Customer,Feb,661
Subscriber,Feb,514
Subscriber,Feb,726
Customer,Feb,5180
Subscriber,Feb,509
Subscriber,Feb,355
Subscriber,Feb,1101
Subscriber,Feb,588
Customer,Feb,46566
Subscriber,Feb,770
Customer,Feb,835
Customer,Feb,1287
Customer,Feb,816
Subscriber,Feb,296
Subscriber,Feb,590
Subscriber,Feb,762
Subscriber,Feb,592
Subscriber,Feb,355
Subscriber,Feb,471
Subscriber,Feb,423
Subscriber,Feb,1055
Subscriber,Feb,835
Customer,Feb,1033
Subscriber,Feb,598
Subscriber,Feb,310
Customer,Feb,277
Customer,Feb,738
Subscriber,Feb,607
Subscriber,Feb,370
Subscriber,Feb,805
Subscriber,Feb,350
Subscriber,Feb,558
Subscriber,Feb,659
Subscriber,Feb,402
Subscriber,Feb,253
Customer,Feb,863
Customer,Feb,1044
Subscriber,Feb,451
Subscriber,Feb,767
Subscriber,Feb,491
Subscriber,Feb,876
Subscriber,Feb,1312
Subscriber,Feb,585
Subscriber,Feb,690
Subscriber,Feb,601
Subscriber,Feb,438
Customer,Feb,704
Customer,Feb,336
Customer,Feb,438
Subscriber,Feb,416
Customer,Feb,2525
Subscriber,Feb,656
Customer,Feb,604
Subscriber,Feb,388
Subscriber,Feb,1234
Subscriber,Feb,328
Subscriber,Feb,1151
Customer,Feb,848
Customer,Feb,1015
Customer,Feb,2015
Subscriber,Feb,483
Subscriber,Feb,266
Subscriber,Feb,442
Subscriber,Feb,6399
Customer,Feb,89
Customer,Feb,292
Customer,Feb,8522
Subscriber,Feb,198
Customer,Feb,128
Subscriber,Feb,847
Customer,Feb,296
Customer,Feb,155
Customer,Feb,210
Customer,Feb,159
Customer,Feb,3040
Subscriber,Feb,747
Subscriber,Feb,499
Subscriber,Feb,529
Subscriber,Feb,448
Subscriber,Feb,435
Subscriber,Feb,436
Subscriber,Feb,1261
Subscriber,Feb,417
Subscriber,Feb,657
Customer,Feb,708
Customer,Feb,3113
Subscriber,Feb,726
Subscriber,Feb,661
Customer,Feb,4731
Customer,Feb,724
Subscriber,Feb,674
Subscriber,Feb,385
Subscriber,Feb,533
Customer,Feb,76
Subscriber,Feb,475
Subscriber,Feb,247
Customer,Feb,226
Subscriber,Feb,1233
Subscriber,Feb,366
Customer,Feb,62
Subscriber,Feb,2153
Customer,Feb,109
Customer,Feb,110
Customer,Feb,716
Subscriber,Feb,436
Customer,Feb,870
Subscriber,Feb,3171
Customer,Feb,707
Subscriber,Feb,609
Subscriber,Feb,349
Subscriber,Feb,332
Subscriber,Feb,579
Customer,Feb,402
Subscriber,Feb,437
Subscriber,Feb,528
Subscriber,Feb,382
Subscriber,Feb,883
Customer,Feb,642
Subscriber,Feb,262
Subscriber,Feb,206
Subscriber,Feb,540
Subscriber,Feb,323
Subscriber,Feb,393
Customer,Feb,613
Subscriber,Feb,375
Subscriber,Feb,3646
Customer,Feb,2074
Subscriber,Feb,293
Subscriber,Feb,694
Subscriber,Feb,623
Subscriber,Feb,80
Subscriber,Feb,399
Subscriber,Feb,348
Subscriber,Feb,680
Subscriber,Feb,285
Subscriber,Feb,448
Subscriber,Feb,1194
Customer,Feb,958
Customer,Feb,821
Subscriber,Feb,378
Subscriber,Feb,270
Subscriber,Feb,73037
Subscriber,Feb,53746
Subscriber,Feb,3587
Subscriber,Feb,431
Subscriber,Feb,465
Subscriber,Feb,166
Subscriber,Feb,655
Subscriber,Feb,890
Subscriber,Feb,3060
Subscriber,Feb,250
Subscriber,Feb,2153
Subscriber,Feb,528
Subscriber,Feb,350
Subscriber,Feb,310
Subscriber,Feb,327
Subscriber,Feb,505
Subscriber,Feb,299
Subscriber,Feb,432
Subscriber,Feb,1007
Subscriber,Feb,1272
Subscriber,Feb,482
Subscriber,Feb,628
Subscriber,Feb,1211
Subscriber,Feb,478
Customer,Feb,262
Subscriber,Feb,602
Subscriber,Feb,595
Subscriber,Feb,597
Subscriber,Feb,548
Subscriber,Feb,362
Subscriber,Feb,1566
Subscriber,Feb,205
Customer,Feb,530
Subscriber,Feb,574
Subscriber,Feb,1531
Subscriber,Feb,311
Subscriber,Feb,497
Subscriber,Feb,587
Subscriber,Feb,812
Subscriber,Feb,839
Subscriber,Feb,432
Subscriber,Feb,509
Subscriber,Feb,594
Customer,Feb,115
Subscriber,Feb,572
Customer,Feb,4653
Customer,Feb,9012
Subscriber,Feb,480
Subscriber,Feb,629
Subscriber,Feb,239
Customer,Feb,86
Subscriber,Feb,456
Customer,Feb,2260
Subscriber,Feb,106
Customer,Feb,494
Subscriber,Feb,546
Customer,Feb,840
Customer,Feb,1249
Subscriber,Feb,421
Subscriber,Feb,247
Subscriber,Feb,243
Subscriber,Feb,587
Subscriber,Feb,121
Subscriber,Feb,945
Subscriber,Feb,401
Customer,Feb,412
Customer,Feb,420
Subscriber,Feb,282
Customer,Feb,110
Customer,Feb,2828
Customer,Feb,1464
Subscriber,Feb,446
Customer,Feb,848
Subscriber,Feb,679
Subscriber,Feb,332
Subscriber,Feb,84
Subscriber,Feb,2431
Subscriber,Feb,464
Subscriber,Feb,373
Customer,Feb,2322
Subscriber,Feb,412
Customer,Feb,288
Subscriber,Feb,2162
Subscriber,Feb,488
Subscriber,Feb,886
Subscriber,Feb,814
Subscriber,Feb,430
Subscriber,Feb,1434
Customer,Feb,727
Customer,Feb,3498
Subscriber,Feb,579
Customer,Feb,229
Subscriber,Feb,826
Customer,Feb,389
Subscriber,Feb,776
Customer,Feb,527
Subscriber,Feb,604
Subscriber,Feb,626
Subscriber,Feb,2273
Customer,Feb,103
Customer,Feb,5373
Customer,Feb,214
Subscriber,Feb,352
Subscriber,Feb,397
Customer,Feb,55051
Subscriber,Feb,266
Subscriber,Feb,600
Subscriber,Feb,419
Subscriber,Feb,1893
Customer,Feb,71059
Customer,Feb,248
Subscriber,Feb,929
Subscriber,Feb,234
Subscriber,Feb,406
Subscriber,Feb,200
Subscriber,Feb,239
Customer,Feb,144405
Subscriber,Feb,602
Subscriber,Feb,318
Subscriber,Feb,709
Subscriber,Feb,586
Subscriber,Feb,395
Subscriber,Feb,365
Subscriber,Feb,63163
Customer,Feb,684
Subscriber,Feb,394
Subscriber,Feb,1633
Subscriber,Feb,665
Subscriber,Feb,432
Subscriber,Feb,151
Subscriber,Feb,307
Subscriber,Feb,986
Subscriber,Feb,1221
Subscriber,Feb,1126
Customer,Feb,1007
Subscriber,Feb,667
Subscriber,Feb,693
Subscriber,Feb,314
Subscriber,Feb,587
Customer,Feb,457
Subscriber,Feb,503
Subscriber,Feb,346
Subscriber,Feb,1766
Customer,Feb,83
Subscriber,Feb,712
Subscriber,Feb,1317
Customer,Feb,10013
Customer,Feb,1054
Subscriber,Feb,474
Subscriber,Feb,9617
Subscriber,Feb,870
Customer,Feb,117
Customer,Feb,113
Subscriber,Feb,391
Subscriber,Feb,364
Subscriber,Feb,596
Customer,Feb,197
Subscriber,Feb,149
Customer,Feb,86200
Customer,Feb,68
Customer,Feb,931
Customer,Feb,133
Customer,Feb,68
Customer,Feb,14227
Customer,Feb,5532
Subscriber,Feb,997
Customer,Feb,195
Subscriber,Feb,1338
Customer,Feb,579
Subscriber,Feb,385
Subscriber,Feb,399
Customer,Feb,290
Customer,Feb,160
Customer,Feb,77
Customer,Feb,169
Subscriber,Feb,645
Customer,Feb,137
Subscriber,Feb,78421
Subscriber,Feb,407
Subscriber,Feb,467
Subscriber,Feb,333
Customer,Feb,241
Subscriber,Feb,607
Customer,Feb,6284
Subscriber,Feb,214
Subscriber,Feb,812
Customer,Feb,103
Subscriber,Feb,379
Subscriber,Feb,179
Subscriber,Feb,431
Subscriber,Feb,723
Subscriber,Feb,314
Subscriber,Feb,600
Subscriber,Feb,276
Subscriber,Feb,368
Customer,Feb,673
Customer,Feb,77
Customer,Feb,625
Customer,Feb,544
Customer,Feb,467
Customer,Feb,2320
Subscriber,Feb,663
Customer,Feb,734
Customer,Feb,477
Customer,Feb,65657
Subscriber,Feb,416
Subscriber,Feb,249
Subscriber,Feb,4306
Customer,Feb,98
Subscriber,Feb,529
Subscriber,Feb,292
Subscriber,Feb,588
Subscriber,Feb,454
Customer,Feb,296
Subscriber,Feb,571
Subscriber,Feb,614
Subscriber,Feb,2969
Customer,Feb,828
Customer,Feb,2749
Subscriber,Feb,549
Subscriber,Feb,249
Subscriber,Feb,1414
Subscriber,Feb,1512
Subscriber,Feb,561
Subscriber,Feb,703
Subscriber,Feb,678
Subscriber,Feb,3211
Subscriber,Feb,246
Subscriber,Feb,566
Subscriber,Feb,747
Subscriber,Feb,743
Subscriber,Feb,664
Subscriber,Feb,426
Subscriber,Feb,250
Subscriber,Feb,541
Subscriber,Feb,699
Subscriber,Feb,367
Subscriber,Feb,330
Subscriber,Feb,626
Subscriber,Feb,660
Subscriber,Feb,887
Subscriber,Feb,362
Subscriber,Feb,2029
Subscriber,Feb,379
Subscriber,Feb,1075
Customer,Feb,9052
Subscriber,Feb,478
Subscriber,Feb,1212
Subscriber,Feb,89
Subscriber,Feb,2130
Subscriber,Feb,1222
Subscriber,Feb,719
Customer,Feb,719
Subscriber,Feb,674
Subscriber,Feb,362
Subscriber,Feb,279
Subscriber,Feb,3219
Subscriber,Feb,338
Subscriber,Feb,248
Subscriber,Feb,1872
Subscriber,Feb,627
Subscriber,Feb,465
Subscriber,Feb,93
Subscriber,Feb,480
Subscriber,Feb,764
Subscriber,Feb,448
Subscriber,Feb,1270
Subscriber,Feb,339
Subscriber,Feb,1278
Subscriber,Feb,569
Subscriber,Feb,408
Subscriber,Feb,581
Subscriber,Feb,372
Subscriber,Feb,959
Subscriber,Feb,244
Subscriber,Feb,127
Subscriber,Feb,541
Subscriber,Feb,95
Subscriber,Feb,620
Subscriber,Feb,373
Subscriber,Feb,915
Subscriber,Feb,773
Subscriber,Feb,382
Subscriber,Feb,878
Subscriber,Feb,263
Subscriber,Feb,632
Subscriber,Feb,378
Subscriber,Feb,377
Subscriber,Feb,290
Subscriber,Feb,180
Subscriber,Feb,6060
Subscriber,Feb,756
Subscriber,Feb,215
Subscriber,Feb,965
Subscriber,Feb,168
Subscriber,Feb,948
Subscriber,Feb,10988
Subscriber,Feb,1313
Subscriber,Feb,349
Subscriber,Feb,497
Subscriber,Feb,636
Subscriber,Feb,218
Subscriber,Feb,635
Subscriber,Feb,323
Subscriber,Feb,353
Subscriber,Feb,1853
Subscriber,Feb,3549
Subscriber,Feb,954
Subscriber,Feb,409
Subscriber,Feb,188
Subscriber,Feb,1045
Subscriber,Feb,119
Subscriber,Feb,1332
Subscriber,Feb,1409
Subscriber,Feb,397
Subscriber,Feb,147
Subscriber,Feb,442
Subscriber,Feb,596
Subscriber,Feb,636
Subscriber,Feb,602
Subscriber,Feb,88585
Subscriber,Feb,723
Subscriber,Feb,672
Subscriber,Feb,212
Subscriber,Feb,291
Subscriber,Feb,112
Subscriber,Feb,412
Subscriber,Feb,346
Subscriber,Feb,502
Subscriber,Feb,380
Subscriber,Feb,357
Subscriber,Feb,212
Subscriber,Feb,353
Subscriber,Feb,126
Subscriber,Feb,443
Subscriber,Feb,341
Subscriber,Feb,526
Subscriber,Feb,235
Subscriber,Feb,837
Subscriber,Feb,61848
Subscriber,Feb,1539
Subscriber,Feb,452
Subscriber,Feb,3728
Subscriber,Feb,142
Subscriber,Feb,610
Subscriber,Feb,61389
Subscriber,Feb,349
Subscriber,Feb,355
Subscriber,Feb,645
Subscriber,Feb,734
Subscriber,Feb,419
Subscriber,Feb,568
Subscriber,Feb,196
Subscriber,Feb,760
Subscriber,Feb,2601
Subscriber,Feb,687
Subscriber,Feb,676
Subscriber,Feb,375
Subscriber,Feb,486
Subscriber,Feb,238
Subscriber,Feb,627
Subscriber,Feb,1060
Subscriber,Feb,437
Subscriber,Feb,1592
Subscriber,Feb,449
Subscriber,Feb,77
Subscriber,Feb,237
Subscriber,Feb,690
Subscriber,Feb,342
Subscriber,Feb,552
Subscriber,Feb,30372
Subscriber,Feb,868
Subscriber,Feb,176
Customer,Feb,3459
Subscriber,Feb,1069
Subscriber,Feb,424
Subscriber,Feb,210
Subscriber,Feb,177
Customer,Feb,128
Customer,Feb,2398
Customer,Feb,2534
Customer,Feb,98117
Customer,Feb,111
Subscriber,Feb,826
Subscriber,Feb,453
Customer,Feb,1118
Customer,Feb,1009
Subscriber,Feb,546
Customer,Feb,497
Subscriber,Feb,1057
Customer,Feb,1166
Subscriber,Feb,1095
Customer,Feb,1511
Customer,Feb,473
Subscriber,Feb,402
Customer,Feb,2429
Customer,Feb,654
Subscriber,Feb,1265
Customer,Feb,871
Subscriber,Feb,827
Subscriber,Feb,703
Customer,Feb,4112
Customer,Feb,4202
Subscriber,Feb,491
Customer,Feb,946
Customer,Feb,960
Customer,Feb,2571
Customer,Feb,2650
Subscriber,Feb,165
Customer,Feb,1521
Customer,Feb,1976
Subscriber,Feb,978
Subscriber,Feb,706
Customer,Feb,623
Customer,Feb,588
Customer,Feb,466
Subscriber,Feb,518
Customer,Feb,3205
Customer,Feb,3413
Subscriber,Feb,576
Subscriber,Feb,565
Customer,Feb,981
Subscriber,Feb,704
Customer,Feb,899
Subscriber,Feb,509
Customer,Feb,564
Subscriber,Feb,406
Subscriber,Feb,357
Customer,Feb,757
Customer,Feb,1094
Subscriber,Feb,933
Subscriber,Feb,446
Subscriber,Feb,799
Subscriber,Feb,292
Subscriber,Feb,2651
Subscriber,Feb,345
Customer,Feb,772
Subscriber,Feb,489
Subscriber,Feb,400
Subscriber,Feb,703
Customer,Feb,11959
Customer,Feb,75
Customer,Feb,62
Subscriber,Feb,426
Customer,Feb,100
Customer,Feb,115
Customer,Feb,319
Subscriber,Feb,298
Subscriber,Feb,354
Customer,Feb,2842
Customer,Feb,1329
Subscriber,Feb,523
Subscriber,Feb,425
Customer,Feb,1447
Customer,Feb,1349
Customer,Feb,813
Subscriber,Feb,88282
Subscriber,Feb,769
Subscriber,Feb,76
Subscriber,Feb,181
Subscriber,Feb,897
Subscriber,Feb,879
Customer,Feb,1029
Customer,Feb,4535
Customer,Feb,4379
Customer,Feb,949
Customer,Feb,1252
Customer,Feb,1070
Customer,Feb,1018
Customer,Feb,227
Customer,Feb,136
Customer,Feb,1924
Subscriber,Feb,253
Subscriber,Feb,269
Customer,Feb,849
Customer,Feb,2300
Customer,Feb,2427
Subscriber,Feb,63
Customer,Feb,538
Subscriber,Feb,753
Customer,Feb,542
Subscriber,Feb,430
Subscriber,Feb,908
Subscriber,Feb,130
Subscriber,Feb,923
Customer,Feb,1184
Subscriber,Feb,253
Subscriber,Feb,274
Subscriber,Feb,550
Subscriber,Feb,1964
Subscriber,Feb,425
Subscriber,Feb,415
Subscriber,Feb,321
Subscriber,Feb,3512
Customer,Feb,841
Customer,Feb,1478
Customer,Feb,58412
Customer,Feb,1007
Subscriber,Feb,922
Customer,Feb,2268
Customer,Feb,2202
Subscriber,Feb,3368
Subscriber,Feb,312
Subscriber,Feb,1419
Subscriber,Feb,323
Subscriber,Feb,638
Subscriber,Feb,1115
Customer,Feb,3560
Subscriber,Feb,377
Subscriber,Feb,3473
Subscriber,Feb,971
Customer,Feb,491
Subscriber,Feb,589
Customer,Feb,552
Subscriber,Feb,873
Customer,Feb,582
Subscriber,Feb,214
Subscriber,Feb,357
Subscriber,Feb,342
Subscriber,Feb,142
Subscriber,Feb,1237
Subscriber,Feb,1542
Subscriber,Feb,459
Subscriber,Feb,1198
Subscriber,Feb,1259
Subscriber,Feb,401
Subscriber,Feb,524
Subscriber,Feb,1194
Customer,Feb,378
Customer,Feb,1754
Customer,Feb,3668
Subscriber,Feb,368
Subscriber,Feb,401
Subscriber,Feb,723
Subscriber,Feb,858
Subscriber,Feb,806
Subscriber,Feb,405
Subscriber,Feb,394
Customer,Feb,296
Subscriber,Feb,472
Subscriber,Feb,850
Subscriber,Feb,635
Subscriber,Feb,499
Subscriber,Feb,395
Subscriber,Feb,166
Subscriber,Feb,17287
Subscriber,Feb,2640
Subscriber,Feb,537
Subscriber,Feb,491
Subscriber,Feb,826
Subscriber,Feb,2544
Subscriber,Feb,698
Subscriber,Feb,212
Subscriber,Feb,940
Subscriber,Feb,523
Subscriber,Feb,1229
Subscriber,Feb,1117
Subscriber,Feb,311
Subscriber,Feb,272
Subscriber,Feb,243
Subscriber,Feb,690
Subscriber,Feb,690
Subscriber,Feb,896
Subscriber,Feb,787
Subscriber,Feb,330
Subscriber,Feb,428
Customer,Feb,2137
Subscriber,Feb,302
Customer,Feb,886
Customer,Feb,2767
Customer,Feb,646
Subscriber,Feb,230
Subscriber,Feb,211
Customer,Feb,865
Subscriber,Feb,3034
Subscriber,Feb,1615
Subscriber,Feb,277
Customer,Feb,3560
Subscriber,Feb,312
Customer,Feb,1649
Customer,Feb,1573
Subscriber,Feb,323
Subscriber,Feb,149
Subscriber,Feb,492
Subscriber,Feb,548
Subscriber,Feb,724
Subscriber,Feb,97
Subscriber,Feb,149
Customer,Feb,3228
Customer,Feb,3221
Customer,Feb,3159
Subscriber,Feb,737
Customer,Feb,3101
Subscriber,Feb,231
Subscriber,Feb,1605
Subscriber,Feb,280
Customer,Feb,349
Subscriber,Feb,671
Subscriber,Feb,1006
Subscriber,Feb,233
Subscriber,Feb,522
Subscriber,Feb,794
Subscriber,Feb,5175
Subscriber,Feb,158
Subscriber,Feb,392
Subscriber,Feb,1129
Subscriber,Feb,326
Subscriber,Feb,100
Subscriber,Feb,447
Subscriber,Feb,2216
Customer,Feb,253
Customer,Feb,7713
Subscriber,Feb,847
Customer,Feb,80
Customer,Feb,66
Subscriber,Feb,124
Customer,Feb,6615
Customer,Feb,2725
Customer,Feb,721
Subscriber,Feb,251
Customer,Feb,885
Customer,Feb,835
Subscriber,Feb,700
Subscriber,Feb,7140
Subscriber,Feb,7459
Customer,Feb,1287
Subscriber,Feb,653
Subscriber,Feb,262
Subscriber,Feb,2237
Subscriber,Feb,1640
Subscriber,Feb,859
Subscriber,Feb,744
Customer,Feb,169
Subscriber,Feb,169
Subscriber,Feb,118
Subscriber,Feb,729
Customer,Feb,1771
Subscriber,Feb,4485
Subscriber,Feb,4422
Subscriber,Feb,328
Customer,Feb,760
Customer,Feb,61627
Subscriber,Feb,889
Customer,Feb,4571
Subscriber,Feb,302
Subscriber,Feb,529
Subscriber,Feb,437
Subscriber,Feb,418
Customer,Feb,1233
Subscriber,Feb,747
Subscriber,Feb,1678
Subscriber,Feb,3525
Subscriber,Feb,762
Customer,Feb,245
Subscriber,Feb,728
Customer,Feb,3428
Subscriber,Feb,480
Subscriber,Feb,795
Subscriber,Feb,584
Subscriber,Feb,476
Subscriber,Feb,531
Subscriber,Feb,355
Subscriber,Feb,891
Subscriber,Feb,1008
Subscriber,Feb,653
Subscriber,Feb,819
Subscriber,Feb,654
